"Vectorz"	"Scale b=alpha*a"	false	14
2	25
2.7153695111438494E7	"null"
2.7290401039194167E7	"null"
2.6585602702632297E7	"null"
2.720369495203713E7	"null"
2.725317382749756E7	"null"
2.7235533145985655E7	"null"
2.7101787062117547E7	"null"
2.699579209907283E7	"null"
2.7052404946251694E7	"null"
2.716526459490417E7	"null"
2.7120172812921435E7	"null"
2.71437618881604E7	"null"
2.7060530240366653E7	"null"
2.7128963287914902E7	"null"
2.660181137573267E7	"null"
2.74055157454261E7	"null"
2.7270694847923428E7	"null"
2.7458623171611924E7	"null"
2.7447962233724847E7	"null"
2.675836952905453E7	"null"
2.7380719209170997E7	"null"
2.739560001142447E7	"null"
2.735859978781996E7	"null"
2.67969063305673E7	"null"
2.7354855925600126E7	"null"
3	10
1.7440979786275443E7	"null"
1.778089957910782E7	"null"
2.01858211094357E7	"null"
1.618224756339098E7	"null"
1.6136408964342855E7	"null"
1.772361624160724E7	"null"
2.0201167913575687E7	"null"
1.6084532809107816E7	"null"
1.61621872184959E7	"null"
1.5999582800023524E7	"null"
4	-1
5	-1
10	-1
20	-1
50	-1
100	-1
200	-1
500	-1
1000	-1
2000	-1
5000	-1
10000	-1
