"Vectorz"	"Determinant"	false	14
2	25
2.019531055540583E8	"null"
2.0365655692643282E8	"null"
2.0447665752833083E8	"null"
2.0291873688907656E8	"null"
2.0446704838889632E8	"null"
2.0424050142973924E8	"null"
2.0486383683401272E8	"null"
2.0418359947447318E8	"null"
2.0408812785272154E8	"null"
2.044847292678475E8	"null"
1.9921796738919625E8	"null"
2.0408286521147957E8	"null"
2.0455905898041102E8	"null"
2.042470953226401E8	"null"
2.044790440922089E8	"null"
2.0417889342926264E8	"null"
2.0415106175241795E8	"null"
2.0414964077825078E8	"null"
2.011326699246455E8	"null"
2.0405829554719123E8	"null"
2.0452748510334265E8	"null"
2.0400266277899885E8	"null"
2.0392735303637838E8	"null"
2.0481999731953806E8	"null"
2.0418292842436868E8	"null"
3	10
1.2525234241876179E8	"null"
1.248865812998291E8	"null"
1.2516300662878014E8	"null"
1.2545564513177928E8	"null"
1.2502582887162079E8	"null"
1.242167264694968E8	"null"
1.2433952185020898E8	"null"
1.248694766750026E8	"null"
1.2505331642151593E8	"null"
1.252920698939347E8	"null"
4	-1
5	-1
10	-1
20	-1
50	-1
100	-1
200	-1
500	-1
1000	-1
2000	-1
5000	-1
10000	-1
