"Vectorz"	"Invert Symm b=inv(a)"	false	14
2	15
5.867690255783307E7	"null"
5.65566347182554E7	"null"
5.886075096684874E7	"null"
5.901801498646544E7	"null"
5.896995444781173E7	"null"
5.884127301670957E7	"null"
5.888917624300507E7	"null"
5.867694265323379E7	"null"
5.8972254684690095E7	"null"
5.638059411631337E7	"null"
5.908305972198334E7	"null"
5.756928963356146E7	"null"
5.8949212968599945E7	"null"
5.8904647648173E7	"null"
5.879735210264685E7	"null"
3	-1
4	-1
5	-1
10	-1
20	-1
50	-1
100	-1
200	-1
500	-1
1000	-1
2000	-1
5000	-1
10000	-1
